"Ref";"id_10WEB.io";"PD#PN";"Post_Number_Calc";"Post_Number_plus_Fin-dex";"Post_Number_v1.0";"Fix";"Calc1";"Calc2";"Calc3";"Post_list!";"Main_Section?";"Surprise!";"Post?";"Tier?";"Fin-dex";"New_Ref";"TransMission";"Post_Name_English";"MS_Code_Number";"Main_Section_Title_for_Categorisation";"Nome_do_Post_Brasileirinho";"Temp_Notes";"Repetead?";"Rp_in";"Rp_out";"Where_the_Post_has_been_found?";"MainSection_Code";"Temp";"Server_Post_Path-2nd_Strip";"Server_Post_Path-1st_Strip";"Server_Post_Path-Complete_with_post_name";"Remarks";"URL"
843;;"BC.AA.000";"BC.AA.0";"823 - BC.AA.0";"BC.A.00";;"BC";"AA";0;"VERDADEIRO";"VERDADEIRO";"FALSO";"FALSO";0;823;823;"VERDADEIRO";"Buddhist Chanting";;;;"O";"FALSO";;;"15 - Buddhist Chanting";"BC";1;"Home » Buddhist Chanting";"Home » Buddhist Chanting";"Home » Buddhist Chanting";;"https://puredhamma.net/buddhist-chanting/"
844;;"BC.AA.001";"BC.AA.1";"824 - BC.AA.1";;;"BC";"AA";1;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;824;824;"VERDADEIRO";"Buddhist Chanting – Introduction";;;;"O";"FALSO";;;"15 - Buddhist Chanting";"BC";1;"Home » Buddhist Chanting »";"Home » Buddhist Chanting »";"Home » Buddhist Chanting » Buddhist Chanting – Introduction";;"https://puredhamma.net/buddhist-chanting/buddhist-chanting-introduction/"
845;;"BC.AA.002";"BC.AA.2";"825 - BC.AA.2";;;"BC";"AA";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;825;825;"VERDADEIRO";"Sādhu – Symbolizes Purified Hadaya Vatthu (Mind)";;;;"O";"FALSO";;;"15 - Buddhist Chanting";"BC";1;"Home » Buddhist Chanting »";"Home » Buddhist Chanting »";"Home » Buddhist Chanting » Sādhu – Symbolizes Purified Hadaya Vatthu (Mind)";;"https://puredhamma.net/buddhist-chanting/sadhu-symbolizes-purified-heart/"
846;;"BC.AA.003";"BC.AA.3";"826 - BC.AA.3";;;"BC";"AA";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;826;826;"VERDADEIRO";"Namaskaraya – Homage to the Buddha";;;;"O";"FALSO";;;"15 - Buddhist Chanting";"BC";1;"Home » Buddhist Chanting »";"Home » Buddhist Chanting »";"Home » Buddhist Chanting » Namaskaraya – Homage to the Buddha";;"https://puredhamma.net/buddhist-chanting/namaskaraya-homage-to-buddha/"
847;;"BC.AA.004";"BC.AA.4";"827 - BC.AA.4";;;"BC";"AA";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;827;827;"VERDADEIRO";"Supreme Qualities of Buddha, Dhamma, Saṅgha";;;;"O";"FALSO";;;"15 - Buddhist Chanting";"BC";1;"Home » Buddhist Chanting »";"Home » Buddhist Chanting »";"Home » Buddhist Chanting » Supreme Qualities of Buddha, Dhamma, Saṅgha";;"https://puredhamma.net/buddhist-chanting/supreme-qualities-of-buddha-dhamma-sangha/"
848;;"BC.AA.005";"BC.AA.5";"828 - BC.AA.5";;;"BC";"AA";5;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;828;828;"VERDADEIRO";"The Five Precepts – Pañca Sīla";;;;"O";"FALSO";;;"15 - Buddhist Chanting";"BC";1;"Home » Buddhist Chanting »";"Home » Buddhist Chanting »";"Home » Buddhist Chanting » The Five Precepts – Pañca Sīla";;"https://puredhamma.net/buddhist-chanting/five-precepts-panca-sila-recital/"
849;;"BC.AA.006";"BC.AA.6";"829 - BC.AA.6";;;"BC";"AA";6;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;829;829;"VERDADEIRO";"Sutta Chanting (with Pāli Text)";;;;"O";"FALSO";;;"15 - Buddhist Chanting";"BC";1;"Home » Buddhist Chanting »";"Home » Buddhist Chanting »";"Home » Buddhist Chanting » Sutta Chanting (with Pāli Text)";;"https://puredhamma.net/buddhist-chanting/sutta-chanting-with-pali-text/"
850;;"DD.AA.000";"DD.AA.0";"830 - DD.AA.0";"DD.A.00";;"DD";"AA";0;"VERDADEIRO";"VERDADEIRO";"FALSO";"FALSO";0;830;830;"VERDADEIRO";"Dhammapada";;;;"O";"FALSO";;;"16 - Dhammapada";"DD";1;"Home » Dhammapada";"Home » Dhammapada";"Home » Dhammapada";;"https://puredhamma.net/dhammapada/"
851;;"DD.AA.001";"DD.AA.1";"831 - DD.AA.1";;;"DD";"AA";1;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;831;831;"VERDADEIRO";"Manōpubbangamā Dhammā..";;;;"O";"FALSO";;;"16 - Dhammapada";"DD";1;"Home » Dhammapada »";"Home » Dhammapada »";"Home » Dhammapada » Manōpubbangamā Dhammā..";;"https://puredhamma.net/dhammapada/manopubbangama-dhamma/"
852;;"DD.AA.002";"DD.AA.2";"832 - DD.AA.2";;;"DD";"AA";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;832;832;"VERDADEIRO";"Sabba Pāpassa Akaranaṃ….";;;;"O";"FALSO";;;"16 - Dhammapada";"DD";1;"Home » Dhammapada »";"Home » Dhammapada »";"Home » Dhammapada » Sabba Pāpassa Akaranaṃ….";;"https://puredhamma.net/dhammapada/sabba-papassa-akaranam/"
853;;"DD.AA.003";"DD.AA.3";"833 - DD.AA.3";;;"DD";"AA";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;833;833;"VERDADEIRO";"Appamādō Amata Padam….";;;;"O";"FALSO";;;"16 - Dhammapada";"DD";1;"Home » Dhammapada »";"Home » Dhammapada »";"Home » Dhammapada » Appamādō Amata Padam….";;"https://puredhamma.net/dhammapada/appamado-amata-padam/"
854;;"DD.AA.004";"DD.AA.4";"834 - DD.AA.4";;;"DD";"AA";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;834;834;"VERDADEIRO";"Na Jaccā Vasalo Hoti……";;;;"O";"FALSO";;;"16 - Dhammapada";"DD";1;"Home » Dhammapada »";"Home » Dhammapada »";"Home » Dhammapada » Na Jaccā Vasalo Hoti……";;"https://puredhamma.net/dhammapada/na-jacca-vasalo-hoti/"
855;;"DD.AA.005";"DD.AA.5";"835 - DD.AA.5";;;"DD";"AA";5;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;835;835;"VERDADEIRO";"Arōgyā Paramā Lābhā..";;;;"O";"FALSO";;;"16 - Dhammapada";"DD";1;"Home » Dhammapada »";"Home » Dhammapada »";"Home » Dhammapada » Arōgyā Paramā Lābhā..";;"https://puredhamma.net/dhammapada/arogya-parama-labha/"
856;;"DD.AA.006";"DD.AA.6";"836 - DD.AA.6";;;"DD";"AA";6;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;836;836;"VERDADEIRO";"Aniccā vata Sankhārā…";;;;"O";"FALSO";;;"16 - Dhammapada";"DD";1;"Home » Dhammapada »";"Home » Dhammapada »";"Home » Dhammapada » Aniccā vata Sankhārā…";;"https://puredhamma.net/dhammapada/anicca-vata-sankhara/"
857;;"DD.AA.007";"DD.AA.7";"837 - DD.AA.7";;;"DD";"AA";7;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;837;837;"VERDADEIRO";"Attā Hi Attanō Nāthō";;;;"O";"FALSO";;;"16 - Dhammapada";"DD";1;"Home » Dhammapada »";"Home » Dhammapada »";"Home » Dhammapada » Attā Hi Attanō Nāthō";;"https://puredhamma.net/dhammapada/atta-hi-attano-natho/"
858;;"SI.AA.000";"SI.AA.0";"838 - SI.AA.0";"SI.A.00";;"SI";"AA";0;"VERDADEIRO";"VERDADEIRO";"FALSO";"FALSO";0;838;838;"VERDADEIRO";"Sutta Interpretations";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations";"Home » Sutta Interpretations";"Home » Sutta Interpretations";;"https://puredhamma.net/sutta-interpretations/"
859;;"SI.AA.001";"SI.AA.1";"839 - SI.AA.1";;;"SI";"AA";1;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;839;839;"VERDADEIRO";"Sutta Interpretation – Uddēsa, Niddēsa, Paṭiniddēsa";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Sutta Interpretation – Uddēsa, Niddēsa, Paṭiniddēsa";;"https://puredhamma.net/sutta-interpretations/sutta-interpretation-uddesa-niddesa-patiniddesa/"
860;;"SI.AA.002";"SI.AA.2";"840 - SI.AA.2";;;"SI";"AA";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;840;840;"VERDADEIRO";"Pāli Dictionaries – Are They Reliable?";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Pāli Dictionaries – Are They Reliable?";;"https://puredhamma.net/sutta-interpretations/pali-dictionaries-reliability/"
861;;"SI.AA.003";"SI.AA.3";"841 - SI.AA.3";;;"SI";"AA";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;841;841;"VERDADEIRO";"Nikāya in the Sutta Piṭaka";;;;"O";"VERDADEIRO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Nikāya in the Sutta Piṭaka";;"https://puredhamma.net/sutta-interpretations/nikaya-sutta-pitaka/"
862;;"SI.AA.004";"SI.AA.4";"842 - SI.AA.4";;;"SI";"AA";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;842;842;"VERDADEIRO";"Sutta Learning Sequence for the Present Day";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Sutta Learning Sequence for the Present Day";;"https://puredhamma.net/sutta-interpretations/sutta-learning-sequence-for-the-present-day/"
863;;"SI.BB.001";"SI.BB.1";"843 - SI.BB.1";;;"SI";"BB";1;"VERDADEIRO";"FALSO";"FALSO";"FALSO";0;843;843;"VERDADEIRO";"Mahā Satipaṭṭhāna Sutta";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta";;"https://puredhamma.net/sutta-interpretations/maha-satipatthana-sutta/"
864;;"SI.BB.002";"SI.BB.2";"844 - SI.BB.2";;;"SI";"BB";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;844;844;"VERDADEIRO";"Satipaṭṭhāna Sutta – Structure";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta » Satipaṭṭhāna Sutta – Structure";;"https://puredhamma.net/sutta-interpretations/maha-satipatthana-sutta/satipatthana-sutta-structure/"
865;;"SI.BB.003";"SI.BB.3";"845 - SI.BB.3";;;"SI";"BB";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;845;845;"VERDADEIRO";"Satipaṭṭhāna – Introduction";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta » Satipaṭṭhāna – Introduction";;"https://puredhamma.net/sutta-interpretations/maha-satipatthana-sutta/satipatthana-introduction/"
866;;"SI.BB.004";"SI.BB.4";"846 - SI.BB.4";;;"SI";"BB";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;846;846;"VERDADEIRO";"Kāyānupassanā – Section on Postures (Iriyāpathapabba)";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta » Kāyānupassanā – Section on Postures (Iriyāpathapabba)";;"https://puredhamma.net/sutta-interpretations/maha-satipatthana-sutta/kayanupassana-foundation-iriyapathapabba/"
867;;"SI.BB.005";"SI.BB.5";"847 - SI.BB.5";;;"SI";"BB";5;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;847;847;"VERDADEIRO";"Kāyānupassanā – The Section on Habits (Sampajānapabba)";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta » Kāyānupassanā – The Section on Habits (Sampajānapabba)";;"https://puredhamma.net/sutta-interpretations/maha-satipatthana-sutta/kayanupassana-the-section-on-habits-sampajanapabba/"
868;;"SI.BB.006";"SI.BB.6";"848 - SI.BB.6";;;"SI";"BB";6;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;848;848;"VERDADEIRO";"Prerequisites for the Satipaṭṭhāna Bhāvanā";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta » Prerequisites for the Satipaṭṭhāna Bhāvanā";;"https://puredhamma.net/sutta-interpretations/maha-satipatthana-sutta/prerequisites-for-the-satipatthana-bhavana/"
869;;"SI.BB.007";"SI.BB.7";"849 - SI.BB.7";;;"SI";"BB";7;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;849;849;"VERDADEIRO";"What is “Kāya” in Kāyānupassanā?";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta »";"Home » Sutta Interpretations » Mahā Satipaṭṭhāna Sutta » What is “Kāya” in Kāyānupassanā?";;"https://puredhamma.net/sutta-interpretations/maha-satipatthana-sutta/kaya-kaya-kayanupassana/"
870;;"SI.AA.005";"SI.AA.5";"850 - SI.AA.5";;;"SI";"AA";5;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;850;850;"VERDADEIRO";"Mahā Cattārisaka Sutta (Discourse on the Great Forty)";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Mahā Cattārisaka Sutta (Discourse on the Great Forty)";;"https://puredhamma.net/sutta-interpretations/maha-cattarisaka-sutta-discourse-on-the-great-forty/"
871;;"SI.CC.001";"SI.CC.1";"851 - SI.CC.1";;;"SI";"CC";1;"VERDADEIRO";"FALSO";"FALSO";"FALSO";0;851;851;"VERDADEIRO";"Dhammacakkappavattana Sutta";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Dhammacakkappavattana Sutta";"Home » Sutta Interpretations » Dhammacakkappavattana Sutta";;"https://puredhamma.net/sutta-interpretations/dhammacakkappavattana-sutta/"
872;;"SI.CC.002";"SI.CC.2";"852 - SI.CC.2";;;"SI";"CC";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;852;852;"VERDADEIRO";"Dhammacakkappavattana Sutta – Introduction";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Dhammacakkappavattana Sutta – Introduction";;"https://puredhamma.net/sutta-interpretations/dhammacakkappavattana-sutta-introduction/"
873;;"SI.CC.003";"SI.CC.3";"853 - SI.CC.3";;;"SI";"CC";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;853;853;"VERDADEIRO";"Essence of Buddhism – In the First Sutta";;;;"O";"VERDADEIRO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Dhammacakkappavattana Sutta »";"Home » Sutta Interpretations » Dhammacakkappavattana Sutta » Essence of Buddhism – In the First Sutta";;"https://puredhamma.net/sutta-interpretations/dhammacakkappavattana-sutta/essence-of-buddhism-in-the-first-sutta/"
874;;"SI.CC.004";"SI.CC.4";"854 - SI.CC.4";;;"SI";"CC";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;854;854;"VERDADEIRO";"Majjhimā Patipadā – Way to Relinquish Attachments to this World";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Dhammacakkappavattana Sutta »";"Home » Sutta Interpretations » Dhammacakkappavattana Sutta » Majjhimā Patipadā – Way to Relinquish Attachments to this World";;"https://puredhamma.net/sutta-interpretations/dhammacakkappavattana-sutta/majjhima-patipada-relinquish-attachments-to-world/"
875;;"SI.CC.005";"SI.CC.5";"855 - SI.CC.5";;;"SI";"CC";5;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;855;855;"VERDADEIRO";"Tiparivatta and Twelve Types of Ñāṇa (Knowledge)";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Dhammacakkappavattana Sutta »";"Home » Sutta Interpretations » Dhammacakkappavattana Sutta » Tiparivatta and Twelve Types of Ñāṇa (Knowledge)";;"https://puredhamma.net/sutta-interpretations/dhammacakkappavattana-sutta/tiparivattaya-and-twelve-types-of-nana/"
876;;"SI.CC.006";"SI.CC.6";"856 - SI.CC.6";;;"SI";"CC";6;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;856;856;"VERDADEIRO";"Relinquishing Defilements via Three Rounds and Four Stages";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Dhammacakkappavattana Sutta »";"Home » Sutta Interpretations » Dhammacakkappavattana Sutta » Relinquishing Defilements via Three Rounds and Four Stages";;"https://puredhamma.net/sutta-interpretations/dhammacakkappavattana-sutta/relinquishing-defilements-via-three-rounds-and-four-stages/"
877;;"SI.DD.001";"SI.DD.1";"857 - SI.DD.1";;;"SI";"DD";1;"VERDADEIRO";"FALSO";"FALSO";"FALSO";0;857;857;"VERDADEIRO";"Anguttara Nikāya – Suttā on Key Concepts";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Anguttara Nikāya – Suttā on Key Concepts";"Home » Sutta Interpretations » Anguttara Nikāya – Suttā on Key Concepts";;"https://puredhamma.net/sutta-interpretations/anguttara-nikaya/"
878;;"SI.AA.003";"SI.AA.3";"858 - SI.AA.3";;;"SI";"AA";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";;858;858;"VERDADEIRO";"Anguttara Nikāya has many short suttā (note that plural of sutta is suttā) with key information; see, “Nikāya in the Sutta Piṭaka";;;;"Tá meio confuso esse PNs, lista DEPOSTS….. etc… verificar";"VERDADEIRO";;;"17 - Sutta Interpretations";;0;;;;;
879;;"SI.DD.002";"SI.DD.2";"859 - SI.DD.2";;;"SI";"DD";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;859;859;"VERDADEIRO";"Dasa Akusala/Dasa Kusala – Basis of Buddha Dhamma";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Anguttara Nikāya – Suttā on Key Concepts »";"Home » Sutta Interpretations » Anguttara Nikāya – Suttā on Key Concepts » Dasa Akusala/Dasa Kusala – Basis of Buddha Dhamma";;"https://puredhamma.net/sutta-interpretations/anguttara-nikaya/dasa-akusala-dasa-kusala-basis-buddha-dhamma/"
880;;"SI.DD.003";"SI.DD.3";"860 - SI.DD.3";;;"SI";"DD";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;860;860;"VERDADEIRO";"Dasa Akusala/Dasa Kusala – Basis of Buddha Dhamma -2";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Anguttara Nikāya – Suttā on Key Concepts »";"Home » Sutta Interpretations » Anguttara Nikāya – Suttā on Key Concepts » Dasa Akusala/Dasa Kusala – Basis of Buddha Dhamma -2";;"https://puredhamma.net/sutta-interpretations/anguttara-nikaya/dasa-akusala-dasa-kusala-basis-of-buddha-dhamma-2/"
881;;"SI.AA.006";"SI.AA.6";"861 - SI.AA.6";;;"SI";"AA";6;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;861;861;"VERDADEIRO";"Na Cēta­nākara­nīya Sutta";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Na Cēta­nākara­nīya Sutta";;"https://puredhamma.net/sutta-interpretations/na-cetanakaraniya-sutta/"
882;;"SI.AA.007";"SI.AA.7";"862 - SI.AA.7";;;"SI";"AA";7;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;862;862;"VERDADEIRO";"Pathama Metta Sutta";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Pathama Metta Sutta";;"https://puredhamma.net/sutta-interpretations/pathama-metta-sutta/"
883;;"SI.AA.008";"SI.AA.8";"863 - SI.AA.8";;;"SI";"AA";8;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;863;863;"VERDADEIRO";"Kukkuravatika Sutta (Majjhima Nikāya 57) – Kammakkhaya";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Kukkuravatika Sutta (Majjhima Nikāya 57) – Kammakkhaya";;"https://puredhamma.net/sutta-interpretations/kukkuravatika-sutta-majjhima-nikaya-57-kammakkhaya/"
884;;"SI.AA.009";"SI.AA.9";"864 - SI.AA.9";;;"SI";"AA";9;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;864;864;"VERDADEIRO";"Aggañña Sutta Discussion – Introduction";;;;"O";"FALSO";;;"17 - Sutta Interpretations";;0;"Home »";"Home »";"Home » Aggañña Sutta Discussion – Introduction";;"https://puredhamma.net/agganna-sutta-discussion-introduction/"
885;;"SI.AA.010";"SI.AA.10";"865 - SI.AA.10";;;"SI";"AA";10;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;865;865;"VERDADEIRO";"Buddhism and Evolution – Aggañña Sutta (DN 27)";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Buddhism and Evolution – Aggañña Sutta (DN 27)";;"https://puredhamma.net/sutta-interpretations/buddhist-cosmology-agganna-sutta/"
886;;"SI.AA.011";"SI.AA.11";"866 - SI.AA.11";;;"SI";"AA";11;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;866;866;"VERDADEIRO";"Tapussa Sutta (AN 9.41)– Akuppā Cētōvimutti";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Tapussa Sutta (AN 9.41)– Akuppā Cētōvimutti";;"https://puredhamma.net/sutta-interpretations/tapussa-sutta-akuppa-cetovimutti/"
887;;"SI.AA.012";"SI.AA.12";"867 - SI.AA.12";;;"SI";"AA";12;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;867;867;"VERDADEIRO";"Yamaka Sutta (SN 22.85) – Arahanthood Is Not Annihilation but End of Suffering";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Yamaka Sutta (SN 22.85) – Arahanthood Is Not Annihilation but End of Suffering";;"https://puredhamma.net/sutta-interpretations/yamaka-sutta-sn-22-85-arahanthood-not-annihilation/"
888;;"SI.AA.013";"SI.AA.13";"868 - SI.AA.13";;;"SI";"AA";13;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;868;868;"VERDADEIRO";"Three Types of “Bodies” – Poṭṭhapāda Sutta (DN 9)";;;;"O";"FALSO";;;"17 - Sutta Interpretations";"SI";1;"Home » Sutta Interpretations »";"Home » Sutta Interpretations »";"Home » Sutta Interpretations » Three Types of “Bodies” – Poṭṭhapāda Sutta (DN 9)";;"https://puredhamma.net/sutta-interpretations/three-types-of-bodies-potthapada-sutta-dn-9/"
889;;"MR.AA.000";"MR.AA.0";"869 - MR.AA.0";"MR.A.00";;"MR";"AA";0;"VERDADEIRO";"VERDADEIRO";"FALSO";"FALSO";0;869;869;"VERDADEIRO";"Myths or Realities?";;;;"O";"FALSO";;;"18 - Myths or Realities?";"MR";1;"Home » Myths or Realities?";"Home » Myths or Realities?";"Home » Myths or Realities?";;"https://puredhamma.net/myths-or-realities/"
890;;"MR.AA.001";"MR.AA.1";"870 - MR.AA.1";;;"MR";"AA";1;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;870;870;"VERDADEIRO";"Vedās Originated With Buddha Kassapa’s Teachings";;;;"O";"FALSO";;;"18 - Myths or Realities?";;0;"Home »";"Home »";"Home » Vedās Originated With Buddha Kassapa’s Teachings";;"https://puredhamma.net/vedas-originated-with-buddha-kassapas-teachings/"
891;;"MR.AA.002";"MR.AA.2";"871 - MR.AA.2";;;"MR";"AA";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;871;871;"VERDADEIRO";"Dasa Māra Senā (Mārasenā) – Ten Defilements";;;;"O";"VERDADEIRO";;;"18 - Myths or Realities?";"MR";1;"Home » Myths or Realities? »";"Home » Myths or Realities? »";"Home » Myths or Realities? » Dasa Māra Senā (Mārasenā) – Ten Defilements";;"https://puredhamma.net/myths-or-realities/dasa-mara-sena-marasena-ten-defilements/"
892;;"MR.AA.003";"MR.AA.3";"872 - MR.AA.3";;;"MR";"AA";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;872;872;"VERDADEIRO";"Animisa Lōcana Bōdhi Poojā – A Prelude to Acts of Gratitude";;;;"O";"FALSO";;;"18 - Myths or Realities?";"MR";1;"Home » Myths or Realities? »";"Home » Myths or Realities? »";"Home » Myths or Realities? » Animisa Lōcana Bōdhi Poojā – A Prelude to Acts of Gratitude";;"https://puredhamma.net/myths-or-realities/animisa-locana-bodhi-pooja/"
893;;"MR.AA.004";"MR.AA.4";"873 - MR.AA.4";;;"MR";"AA";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;873;873;"VERDADEIRO";"Pāramitā – How a Puthujjana Becomes a Buddha";;;;"O";"FALSO";;;"18 - Myths or Realities?";"MR";1;"Home » Myths or Realities? »";"Home » Myths or Realities? »";"Home » Myths or Realities? » Pāramitā – How a Puthujjana Becomes a Buddha";;"https://puredhamma.net/myths-or-realities/paramita-how-a-puthujjana-becomes-a-buddha/"
894;;"MR.AA.005";"MR.AA.5";"874 - MR.AA.5";;;"MR";"AA";5;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;874;874;"VERDADEIRO";"Tisarana Vandana and Its Effects on One’s Gati";;;;"O";"FALSO";;;"18 - Myths or Realities?";"MR";1;"Home » Myths or Realities? »";"Home » Myths or Realities? »";"Home » Myths or Realities? » Tisarana Vandana and Its Effects on One’s Gati";;"https://puredhamma.net/myths-or-realities/tisarana-vandana-and-its-effects-on-ones-gathi/"
